order,heading,roll,pitch,ax,ay,az
0,247.0625,-0.0625,-13.6875,-0.05,-0.11,0.0
1,246.9375,-0.1875,-13.8125,0.92,-3.61,0.74
2,246.375,-0.25,-13.6875,-1.57,-2.38,0.77
3,245.0,-0.25,-13.75,-1.54,1.83,0.56
4,242.4375,-0.125,-13.9375,3.87,-0.48,-2.01
5,241.625,-0.125,-14.0625,1.36,0.32,2.1
6,239.5,-0.1875,-14.1875,0.61,-3.48,-0.62
7,238.0,-0.375,-14.1875,-0.15,-2.29,0.83
8,237.1875,-0.5,-14.1875,0.13,-3.77,1.41
9,235.6875,-0.625,-14.125,-0.9,-0.19,0.55
10,234.1875,-0.5625,-14.1875,0.0,2.14,0.7
11,232.9375,-0.5625,-14.25,-1.56,-2.88,0.34
12,232.375,-0.5625,-14.375,2.4,0.49,0.03
13,231.4375,-0.5625,-14.375,1.85,-3.04,-1.17
14,231.0,-0.6875,-14.5,0.82,0.54,0.5
15,230.25,-0.625,-14.4375,0.31,-3.68,-0.98
16,229.625,-0.9375,-14.375,-1.62,-0.79,-0.03
17,228.9375,-0.9375,-14.3125,1.21,0.78,-2.29
18,228.375,-0.875,-14.4375,1.5,-3.79,-0.42
19,228.125,-0.875,-14.625,-1.42,1.81,-1.95
20,228.0,-0.8125,-14.6875,-2.04,0.58,3.77
21,227.875,-0.75,-14.6875,-1.22,-1.22,0.75
22,227.4375,-0.875,-14.625,0.21,-4.16,-0.48
23,227.3125,-0.9375,-14.5,0.71,-2.68,0.8
24,227.0625,-1.0625,-14.5,-1.99,0.17,2.3
25,226.75,-0.9375,-14.5625,-0.29,-0.72,0.89
26,226.625,-0.875,-14.6875,0.12,0.98,-0.61
27,226.4375,-0.8125,-14.75,1.54,-1.08,0.77
28,226.375,-0.9375,-14.4375,0.45,-1.24,-0.41
29,226.1875,-1.1875,-14.3125,-2.72,-1.69,2.02
30,226.0,-1.0,-14.375,0.75,-3.44,1.89
31,225.6875,-0.625,-14.6875,3.16,1.76,-2.55
32,224.5625,-0.4375,-14.625,1.69,1.86,0.0
33,223.8125,-0.375,-14.5,4.35,-1.22,-3.67
34,221.8125,-0.75,-14.5625,1.34,-1.23,0.09
35,219.5,-0.875,-14.75,3.97,-1.98,-4.73
36,218.1875,-0.9375,-15.0,3.13,2.24,-0.3
37,216.9375,-0.875,-15.1875,1.9,2.15,-0.58
38,215.6875,-0.875,-15.4375,1.69,-0.89,2.23
39,214.3125,-1.0,-15.5,1.55,-0.42,-0.75
40,211.5625,-0.8125,-15.375,1.68,0.51,-0.27
41,210.125,-0.6875,-15.3125,2.76,-0.35,-1.72
42,208.5625,-0.625,-15.3125,0.99,0.15,3.61
43,207.0,-0.625,-15.4375,3.11,-1.36,-2.17
44,205.375,-0.5,-15.5625,1.83,0.11,0.2
45,203.6875,-0.4375,-15.6875,0.72,0.71,0.49
46,200.3125,-0.1875,-15.875,3.44,0.69,-0.49
47,198.5,-0.1875,-15.875,1.46,-0.38,-1.19
48,196.8125,-0.3125,-15.8125,-1.23,0.05,2.53
49,195.125,-0.1875,-15.75,4.65,3.27,0.39
50,193.375,-0.375,-15.5625,1.61,-2.51,-2.01
51,191.5625,-0.4375,-15.625,0.5,2.51,2.65
52,189.75,-0.375,-15.625,0.62,-2.17,-1.4
53,187.9375,-0.25,-15.6875,2.59,1.53,1.23
54,186.125,-0.125,-15.6875,2.42,1.06,-0.7
55,184.375,-0.0625,-15.75,1.12,0.15,-0.32
56,182.5625,-0.0625,-15.6875,1.29,2.78,0.22
57,180.8125,0.0,-15.5625,3.62,3.1,-2.56
58,179.0625,-0.0625,-15.5,0.54,-3.39,-1.27
59,177.25,-0.3125,-15.5,0.23,1.47,-0.84
60,173.75,-0.6875,-16.0,1.45,0.15,-0.3
61,172.0,-0.8125,-16.3125,0.7,-0.51,0.38
62,170.3125,-0.8125,-16.5,0.21,1.26,0.44
63,168.625,-0.6875,-16.5625,1.79,-0.13,0.24
64,166.9375,-0.625,-16.625,1.59,-0.59,0.18
65,165.1875,-0.625,-16.625,1.58,0.35,1.19
66,163.375,-0.6875,-16.5625,0.25,-0.84,1.2
67,161.5625,-0.625,-16.5,3.64,1.14,-1.32
68,159.75,-0.3125,-16.5,3.27,0.2,-0.32
69,155.875,-0.1875,-16.6875,0.38,-1.86,-1.5
70,154.125,-0.3125,-16.875,0.52,2.42,-1.13
71,152.375,-0.375,-17.125,0.97,-3.51,-3.73
72,150.6875,-0.5,-17.3125,-2.4,0.98,3.44
73,149.3125,-0.5,-17.3125,-2.35,1.13,5.07
74,147.9375,-0.5,-17.1875,1.93,-1.99,1.39
75,146.6875,-0.625,-17.1875,-0.89,-0.75,1.45
76,145.5,-0.6875,-17.1875,-2.6,-2.48,0.71
77,144.5,-0.5,-17.1875,-0.28,-0.68,2.43
78,143.5,-0.3125,-17.25,0.18,-0.25,-0.03
79,142.6875,-0.1875,-17.3125,0.6,2.19,0.1
80,141.9375,-0.1875,-17.3125,-0.2,-4.69,-0.03
81,141.25,-0.1875,-17.3125,-0.65,-2.96,0.51
82,140.625,-0.125,-17.25,1.65,1.72,1.68
83,139.625,-0.1875,-17.125,0.38,-1.56,-0.85
84,139.125,-0.375,-17.125,-0.81,-0.77,-0.46
85,138.75,-0.3125,-17.125,-1.23,-0.82,1.28
86,138.375,-0.125,-17.25,1.54,-1.97,-1.78
87,138.0,-0.0625,-17.375,0.43,-0.37,0.84
88,137.8125,-0.0625,-17.4375,-0.2,-1.61,-0.67
89,137.5625,0.0,-17.4375,0.24,0.0,1.4
90,137.375,0.0,-17.375,0.81,-1.38,1.02
91,137.25,0.0,-17.3125,-2.7,-1.71,1.1
92,136.8125,-0.125,-17.3125,-1.73,-1.43,2.07
93,136.6875,-0.1875,-17.3125,0.0,-1.86,-0.24
94,136.5,-0.0625,-17.5,0.74,-2.01,-0.96
95,136.4375,0.0,-17.625,0.59,-0.46,0.45
96,136.3125,0.0,-17.625,-0.58,0.05,2.05
97,136.25,0.0625,-17.5625,0.37,-1.16,-0.08
98,136.1875,0.0625,-17.5,-1.27,-1.54,1.84
99,136.125,0.0625,-17.4375,-0.42,-1.81,-1.01
100,136.0625,-0.0625,-17.3125,-1.62,-0.92,2.85
101,135.75,0.0625,-17.375,0.63,-1.71,-1.38
102,135.5625,0.3125,-17.5625,-0.77,-2.54,1.31
103,135.625,0.3125,-17.5625,0.94,1.21,2.55
104,135.9375,0.25,-17.25,0.03,3.24,-1.88
105,135.625,0.375,-17.1875,-1.22,-4.53,0.89
106,135.5,0.75,-17.375,0.45,4.23,0.67
107,135.6875,0.75,-17.125,0.8,-1.29,0.59
108,135.8125,0.625,-17.0625,-0.41,-2.87,-0.39
109,135.5,0.75,-17.1875,-0.3,-2.73,1.01
110,135.375,0.9375,-17.375,-0.76,-1.47,-0.24
111,135.5625,0.875,-17.25,0.82,-1.84,-1.17
112,135.875,0.875,-17.0625,-1.05,-1.97,0.09
113,135.6875,1.125,-17.25,0.96,-2.49,-3.72
114,135.6875,1.25,-16.9375,3.85,-1.75,-0.82
115,135.625,1.1875,-16.9375,-4.08,-2.4,0.95
116,135.5625,0.8125,-17.0625,-1.33,-0.3,-0.43
117,135.4375,0.6875,-17.3125,-0.6,-3.65,1.06
118,135.3125,0.875,-17.4375,0.53,-0.93,-1.19
119,135.6875,0.75,-17.3125,1.74,-0.37,0.13
120,135.8125,0.625,-17.1875,-0.73,0.09,0.05
121,135.8125,0.5625,-17.1875,-1.64,-2.05,2.17
122,135.6875,0.5,-17.3125,0.01,1.34,0.96
123,135.75,0.5625,-17.3125,0.0,-3.45,-0.72
124,135.75,0.6875,-17.125,4.72,-0.03,-1.91
125,135.8125,0.75,-17.0,-1.2,-0.24,3.06
126,135.75,0.625,-17.1875,-1.48,0.68,-0.43
127,135.625,0.4375,-17.3125,-0.64,-4.17,-0.7
128,135.6875,0.5625,-17.3125,2.63,2.45,-0.24
129,135.8125,0.6875,-17.1875,2.08,-3.65,-2.09
130,135.75,0.5625,-17.125,-3.32,0.05,5.67
131,135.625,0.3125,-17.1875,-1.86,-1.64,-0.11
132,135.625,0.3125,-17.25,-0.59,0.04,-1.21
133,135.6875,0.375,-17.125,15.31,2.47,-6.03
134,135.625,0.6875,-16.9375,5.03,5.5,-1.76
135,134.9375,1.1875,-16.8125,4.79,3.64,2.55
136,133.5625,1.125,-17.0625,4.17,2.89,-2.52
137,130.0625,1.25,-17.0,4.48,3.81,-1.58
138,128.0625,1.375,-16.9375,5.52,2.74,-2.98
139,125.875,1.5,-16.875,2.92,1.37,-2.17
140,123.5625,1.375,-17.0,0.64,4.81,4.27
141,121.1875,1.125,-17.125,0.89,-0.97,0.23
142,118.9375,1.125,-17.1875,4.46,1.29,-1.23
143,116.6875,1.375,-17.25,2.06,-2.33,0.33
144,114.375,1.5,-17.25,3.44,1.35,-2.58
145,112.0625,1.5625,-17.0,1.57,1.52,-1.16
146,107.375,1.5625,-17.0,-1.02,2.15,2.27
147,105.125,1.6875,-17.0,-0.87,0.95,-0.87
148,102.9375,2.0,-16.9375,4.34,1.55,-0.73
149,100.75,2.375,-16.875,2.91,2.33,-1.04
150,98.625,2.625,-16.8125,2.18,-0.49,-0.31
151,94.3125,2.375,-16.75,2.16,2.21,-2.01
152,92.25,2.125,-16.8125,0.26,1.28,0.9
153,90.1875,1.8125,-17.0,1.36,0.36,-0.45
154,88.25,1.6875,-17.0625,2.36,1.72,-3.47
155,86.3125,1.625,-17.0625,1.01,0.73,-0.44
156,84.4375,1.375,-17.125,-4.06,0.97,4.36
