order,heading,roll,pitch,ax,ay,az
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,359.75,1.1875,25.5,0.01,-0.02,-0.06
7,359.75,1.1875,25.5,0.01,-0.02,-0.06
8,359.75,1.1875,25.5,0.01,0.0,-0.06
9,359.75,1.1875,25.5,0.01,0.0,-0.04
10,359.75,1.1875,25.5,0.01,0.01,-0.03
11,359.75,1.1875,25.5,0.0,0.0,-0.06
12,359.75,1.1875,25.5,0.0,0.0,-0.06
13,359.75,1.1875,25.5,0.01,-0.02,-0.04
14,359.75,1.1875,25.5,0.01,0.0,-0.03
15,359.75,1.1875,25.5,0.01,0.0,-0.03
16,359.75,1.1875,25.5,0.01,0.0,-0.02
17,359.75,1.1875,25.5,0.01,-0.01,-0.05
18,359.75,1.1875,25.5,0.01,0.0,-0.03
19,359.75,1.1875,25.5,0.01,0.0,-0.03
20,359.75,1.1875,25.5,0.01,0.0,-0.04
21,359.75,1.1875,25.5,0.0,0.0,-0.06
22,359.75,1.1875,25.5,0.0,0.0,-0.06
23,359.75,1.1875,25.5,0.01,0.0,-0.03
24,359.75,1.1875,25.5,0.0,0.0,-0.03
25,359.75,1.1875,25.5,0.02,-0.02,-0.02
26,359.75,1.1875,25.5,0.02,-0.02,-0.02
27,359.75,1.1875,25.5,0.0,-0.01,-0.03
28,359.75,1.1875,25.5,0.0,0.0,-0.05
29,359.75,1.1875,25.5,0.0,0.0,-0.05
30,359.75,1.1875,25.5,0.0,0.0,-0.04
31,359.75,1.1875,25.5,0.01,-0.01,-0.02
32,359.75,1.1875,25.5,0.01,-0.01,-0.04
33,359.75,1.1875,25.5,0.01,-0.01,-0.04
34,359.75,1.1875,25.5,0.0,0.0,-0.03
35,359.75,1.1875,25.5,0.0,0.0,-0.03
36,359.75,1.1875,25.5,0.01,0.0,-0.02
37,359.75,1.1875,25.5,0.0,0.0,-0.02
38,359.75,1.1875,25.5,0.01,0.0,-0.05
39,359.75,1.1875,25.5,0.01,0.0,-0.05
40,359.75,1.1875,25.5,0.0,0.0,-0.03
41,359.75,1.1875,25.5,0.01,0.0,-0.02
42,359.75,1.1875,25.5,0.01,0.0,-0.02
43,359.75,1.1875,25.5,0.01,0.0,-0.03
44,359.75,1.1875,25.5,0.01,0.0,-0.03
45,359.75,1.1875,25.5,0.0,0.0,-0.01
46,359.75,1.1875,25.5,0.0,0.0,-0.01
47,359.75,1.1875,25.5,0.0,0.0,-0.02
48,359.75,1.1875,25.5,0.0,0.0,-0.02
49,359.75,1.1875,25.5,0.01,-0.02,-0.05
50,359.75,1.1875,25.5,0.0,-0.02,-0.05
51,359.75,1.1875,25.5,0.0,-0.02,-0.05
52,359.75,1.1875,25.5,0.0,-0.01,-0.02
53,359.75,1.1875,25.5,0.0,-0.02,-0.02
54,359.75,1.1875,25.5,0.0,-0.02,-0.02
55,359.75,1.1875,25.5,0.0,-0.01,-0.04
56,359.75,1.1875,25.5,0.01,0.0,-0.05
57,359.75,1.1875,25.5,0.01,0.0,-0.05
58,359.75,1.1875,25.5,0.01,0.0,-0.05
59,359.75,1.1875,25.5,0.01,0.0,-0.05
60,359.75,1.1875,25.5,0.02,-0.01,-0.02
61,359.75,1.1875,25.5,0.01,-0.02,-0.01
62,359.75,1.1875,25.5,0.0,-0.01,-0.02
63,359.75,1.1875,25.5,0.0,-0.01,-0.02
64,359.75,1.1875,25.5,0.0,-0.01,-0.03
65,359.75,1.1875,25.5,0.01,-0.01,-0.02
66,359.75,1.1875,25.5,0.01,-0.01,-0.02
67,359.75,1.1875,25.5,0.0,0.0,-0.03
68,359.75,1.1875,25.5,0.02,-0.01,0.0
69,359.75,1.1875,25.5,0.02,-0.01,-0.03
70,359.75,1.1875,25.5,0.02,-0.01,-0.03
71,359.75,1.1875,25.5,0.01,0.0,-0.02
72,359.75,1.1875,25.5,0.01,-0.01,-0.03
73,359.75,1.1875,25.5,0.01,-0.01,-0.04
74,359.75,1.1875,25.5,0.01,0.0,-0.02
75,359.75,1.1875,25.5,0.01,0.0,-0.02
76,359.75,1.1875,25.5,0.01,-0.01,-0.05
77,359.75,1.1875,25.5,0.01,-0.01,-0.05
78,359.75,1.1875,25.5,0.0,-0.01,-0.03
79,359.75,1.1875,25.5,0.02,0.0,-0.03
80,359.75,1.1875,25.5,0.02,0.0,-0.03
81,359.75,1.1875,25.5,0.01,0.0,-0.04
82,359.75,1.1875,25.5,0.0,-0.02,-0.02
83,359.75,1.1875,25.5,0.0,-0.02,-0.02
84,359.75,1.1875,25.5,0.01,-0.01,-0.01
85,359.75,1.1875,25.5,0.02,0.0,-0.06
86,359.75,1.1875,25.5,0.02,0.0,-0.06
87,359.75,1.1875,25.5,0.01,0.0,-0.05
